# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID00E9.BIN	0:97	0	0	DATA	＞{02:06}\n		>{02:06}\n	ours		reads: ＞どうしますか？\n
et/ID00E9.BIN	0:97	1	21	1FB2	宝石		Gemstone	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	2	27	1FB2	魔石		Magic Stone	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	3	33	1FB2	ＭＡＧ		MAG	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	4	41	1FB2	金		Money	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	5	45	1FB2	他の物		Other	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	6	97	1FB2	ミルク		Milk	ours		menu option, declared width 20 columns; reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00} @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}
et/ID00E9.BIN	0:97	7	105	1FB2	靴		Shoe	ours		menu option, declared width 20 columns
et/ID00E9.BIN	0:97	8	109	1FB2	や{08:2E}		Cancel	ours		reads: やめる; menu option, declared width 20 columns
et/ID00E9.BIN	0:97	9	115	1FB2	他の物		Other	ours		menu option, declared width 20 columns; reads: やめる
et/ID00E9.BIN	0:97	10	154	14	運良くミルクを持{08:52}{08:64}！\n		Luckily, you had some milk!\n	ours		reads: 運良くミルクを持っていた！\n; menu option, declared width 20 columns
et/ID00E9.BIN	0:97	11	249	0E	運良くミルクを持{08:52}{08:64}！\n	As luck would have it, you had milk!\n	Luckily, you had some milk!\n	ours	draft	reads: 運良くミルクを持っていた！\n @seamfix-2026-09-05
et/ID00E9.BIN	0:97	12	310	1FFA	{02:09}	{02:09}				reads: ・・・; reads: デビルバスター燼そんなことs @rebase-unmatched idx12 en=Devil Buster燼such a things @rebase-unmatched idx12 en=Devil Buster燼such a things
et/ID00E9.BIN	0:97	13	328	18	{08:61}ミルクを持{08:52}い{08:19}\n		But you had no milk.\n	ours		reads: しかしミルクを持っていなかった\n; reads: 運良くミルクを持っていた！\n
et/ID00E9.BIN	0:97	14	397	1FFA	{02:09}・・\n		{02:09}..\n	ours		reads: ・・・・・\n; reads: 運良くミルクを持っていた！\n
