# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS00B4.BIN	0:03	0	18	1B	バーテン	Bartender	Bartender	v005	draft	reads: わたくし @ours-2026-09-05
m/MS00B4.BIN	0:03	1	39	1B	男性	Man	Man	v005	draft	reads: ペンタグランマ' @ours-2026-09-05
m/MS00B4.BIN	0:03	2	56	1B	労働者	Worker	Worker	v005	draft	@ours-2026-09-05
m/MS00B4.BIN	0:04	0	4	1FD2	バーテン：		Bartender:	v005		
m/MS00B4.BIN	0:04	1	22	1F01	様！　よくぞおいで下{08:49}ま{08:17}\nど‥‥どうぞ、ごゆっくり、おくつろぎ下{08:49}ませ！\n<wait>	-sama! How good of you to come!\nP-please, take your time and make yourself comfortable!\n<wait>	Mister Katsuragi! You are always welcome here.\nPlease, enjoy yourself.\n<wait>	v005	draft	reads: 様！　よくぞおいで下さいました！\nど‥‥どうぞ、ごゆっくり、おくつろぎ下さいませ！\n<wait> @rebase-tagdiff @seamfix-2026-09-05
m/MS00B4.BIN	0:05	0	4	1FD2	男性：		Man:	v005		
m/MS00B4.BIN	0:05	1	17	09	都庁には、バエル城がすっかり完成{08:4B}様{08:55}。\n{08:5C}我々人間には、成す術は無いのでしょうか！\n		I hear that Baal has finished his castle.\nI guess that's it for mankind's future!\n	ours		reads: 都庁には、バエル城がすっかり完成した様です。\nもう我々人間には、成す術は無いのでしょうか！\n
m/MS00B4.BIN	0:05	2	110	1F01	様！\n我らを救{08:52}下さ{08:52}、本当に有り難う御座い{08:5A}！！\n<wait>	-sama!\nThank you, truly, for saving us all!!\n<wait>	Mister Katsuragi! You're our hero, our saviour!\nThank you for always keeping us safe!\n<wait>	v005	draft	reads: 様！\n我らを救って下さって、本当に有り難う御座います！！\n<wait> @rebase-tagdiff @seamfix-2026-09-05
m/MS00B4.BIN	0:05	3	168	1FD2	男性：		Man:	v005		
m/MS00B4.BIN	0:05	4	176	1FD3	貴方がい{08:57}、{08:47}{08:10}は全滅{08:4A}いたに\n違いありません。\n<wait>		Had it not been for you,\nthis shelter would surely have fallen.\n<wait>	v005		reads: 貴方がいなければ、このシェルターは全滅していたに\n違いありません。\n<wait>
m/MS00B4.BIN	0:05	5	232	1FD2	男性：		Man:	v005		
m/MS00B4.BIN	0:05	6	240	1FD3	本当に有り難う御座い{08:5A}！！\n<wait>		From the bottom of my heart, thank you!\n<wait>	v005		reads: 本当に有り難う御座います！！\n<wait>
m/MS00B4.BIN	0:06	0	4	1FD2	労働者：		Worker:	v005		
m/MS00B4.BIN	0:06	1	19	09	新宿に{08:3F}程しっかり{08:4B}拠点が出来ちまうと、\n{08:47}辺りも、かなりやばく{08:1A}来る‥‥‥‥\n<wait>		With what's happening over at Shinjuku,\nit's only a matter of time till disaster strikes here...\n<wait>	v005		reads: 新宿にあれ程しっかりした拠点が出来ちまうと、\nこの辺りも、かなりやばくなって来る‥‥‥‥\n<wait>; reads: 新宿にあれ程しっかりした拠点が出来ちまうと、\nこの辺りも、かなりやばくなって来る‥‥‥‥\n<wait> @refalign
m/MS00B4.BIN	0:06	2	105	1FD2	労働者：		Worker:	v005		
m/MS00B4.BIN	0:06	3	115	1FD3	今更、俺{08:4F}は外では暮らせ{08:25}し‥‥‥\nどう{08:4B}らいい{08:5F}。\n		It's not like we can move to the surface. Not anymore.\nI wonder, what are we going to do going forward?...\n	v005		reads: 今更、俺たちは外では暮らせないし‥‥‥\nどうしたらいいんだ。\n
m/MS00B4.BIN	0:06	4	170	18	嗚呼、	Aah, 	Aah! Mister Katsuragi! I owe you my life! Thank you!\n<wait>	v005	draft	@refalign @ours-2026-09-05
m/MS00B4.BIN	0:06	5	182	1F01	様！！\n貴方は命の恩人{08:55}！　有り難う御座いま{08:17}！\n<wait>	!!			draft	reads: 様！！\n貴方は命の恩人です！　有り難う御座いました！！\n<wait> @ours-2026-09-05
