# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS001A.BIN	0:00	0	110	1FD2	{08:00}：		Hayasaka:	v005		reads: 早坂：; reads: 早坂： @refalign
m/MS001A.BIN	0:00	1	116	1FD3	隊長！！　{08:4D}に		Commander! And Katsuragi as well...\n<wait>	v005		reads: 隊長！！　それに; reads: 隊長！！　それに @refalign @refalign-merged
m/MS001A.BIN	0:00	2	136	1F01	{08:71}{02:08}‥\n<wait>	{08:71}{02:08}‥\n<wait>				reads: まで‥‥‥‥\n<wait>
m/MS001A.BIN	0:00	3	237	1FD2	{08:04}：		Nishino:	v005		reads: 西野：; reads: 西野： @refalign
m/MS001A.BIN	0:00	4	243	1FD3	{02:08}‥{02:0C}{08:62}{08:48}より原宿{08:10}に向かう。\n人命救助を最優先だ。<wait>行くぞ！\n<wait>		...We will be heading over to Harajuku Shelter.\nRegardless of our orders, saving lives takes priority.\n<wait>Now, let's get moving!\n<wait>	v005		reads: ‥‥‥‥我々は、これより原宿シェルターに向かう。\n人命救助を最優先だ。<wait>行くぞ！\n<wait>; reads: ‥‥‥‥我々は、これより原宿シェルターに向かう。\n人命救助を最優先だ。<wait>行くぞ！\n<wait> @refalign @refalign-merged
m/MS001A.BIN	0:00	5	315	1FD2	全員：		 	v005		@refalign @refalign-merged
m/MS001A.BIN	0:00	6	323	1FD3	了解！！\n<wait>		 	v005		@refalign @refalign-merged
m/MS001A.BIN	0:01	0	81	1FD2	{08:00}：		Hayasaka:	v005		reads: 早坂：; reads: 早坂： @refalign
m/MS001A.BIN	0:01	1	87	1FD3	いよいよ外に出る{08:5F}な{02:08}\n<wait>		Alright, we're finally here.\nAll that separates us from the outside world now is this door...\n<wait>	v005		reads: いよいよ外に出るんだな‥‥‥\n<wait>; reads: いよいよ外に出るんだな‥‥‥\n<wait> @refalign
m/MS001A.BIN	0:01	2	118	1FD2	{08:03}：		Emi:	v005		reads: 英美：; reads: 英美： @refalign
m/MS001A.BIN	0:01	3	124	1FD3	{01:16}達{08:48}{08:42}、{08:90}なっちゃうん{08:8C}{08:72}\n<wait>		I wonder what's going to happen to us...\n<wait>	v005		reads: あたし達これから、どうなっちゃうんだろう‥‥\n<wait>; reads: あたし達これから、どうなっちゃうんだろう‥‥\n<wait> @refalign
m/MS001A.BIN	0:01	4	161	1FD2	{08:00}：		Hayasaka:	v005		reads: 早坂：; reads: 早坂： @refalign
m/MS001A.BIN	0:01	5	167	1FD3	余計な心配を{08:4A}{08:54}仕方{08:25}。{08:5C}、後戻りは出来{08:25}{08:5F}。\n<wait>		It's probably for the best if we don't worry about that too much.\nIt's not like we could turn back even if we wanted to.\n<wait>	v005		reads: 余計な心配をしてても仕方ない。もう、後戻りは出来ないんだ。\n<wait>; reads: 余計な心配をしてても仕方ない。もう、後戻りは出来ないんだ。\n<wait> @refalign
m/MS001A.BIN	0:01	6	222	1FD2	{08:03}：		Emi:	v005		reads: 英美：; reads: 英美： @refalign
m/MS001A.BIN	0:01	7	228	1FD3	そうね。\n<wait>		That's true.\n<wait>	v005		@refalign
m/MS001A.BIN	0:01	8	245	1FD2	{08:00}：		Hayasaka:	v005		reads: 早坂：; reads: 早坂： @refalign
m/MS001A.BIN	0:01	9	251	1FD3	{08:5C}、科学戦スーツは脱い{08:56}{08:7F}{08:8C}。\n<wait>{08:0B}相手に、いつま{08:56}{08:73}物着て戦え{08:25}{08:42}な！\n<wait>		Anyway, we can probably take the hazmats suits off now.\n<wait>Fighting demons in these things is going to be impossible.\n<wait>	v005		reads: もう、科学戦スーツは脱いでもいいだろう。\n<wait>悪魔相手に、いつまでもこんな物着て戦えないからな！\n<wait>; reads: もう、科学戦スーツは脱いでもいいだろう。\n<wait>悪魔相手に、いつまでもこんな物着て戦えないからな！\n<wait> @refalign
m/MS001A.BIN	0:01	10	333	1FD2	{08:03}：		Emi:	v005		reads: 英美：; reads: 英美： @refalign
m/MS001A.BIN	0:01	11	339	1FD3	ちょ{08:53}待{08:52}、スーツの測定機を見るわ！\n<wait>		Hold on. Let me check these readings real quick...\n<wait>	v005		reads: ちょっと待って、スーツの測定機を見るわ！\n<wait>; reads: ちょっと待って、スーツの測定機を見るわ！\n<wait> @refalign
m/MS001A.BIN	0:01	12	384	1FD2	{08:03}：		Emi:	v005		reads: 英美：; reads: 英美： @refalign
m/MS001A.BIN	0:01	13	390	1FD3	{08:45}の毒ガスの濃度{08:62}数値{08:42}見れば危険値以下ね。\n<wait>{01:32}そうよ、脱い{08:81}{08:89}しょ！\n<wait>		Okay, everything looks normal.\n<wait>No poison gas detected.\n<wait>	v005		reads: ここの毒ガスの濃度は、数値から見れば危険値以下ね。\n<wait>大丈夫そうよ、脱いじゃいましょ！\n<wait>; reads: ここの毒ガスの濃度は、数値から見れば危険値以下ね。\n<wait>大丈夫そうよ、脱いじゃいましょ！\n<wait> @refalign
