# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS00D2.BIN	0:00	0	0	DATA	ＮＰＣフォント表示\nフォント番号を入力{08:4A}{08:6E}（ｆｆｆｆで終了）					reads: ＮＰＣフォント表示\nフォント番号を入力してください（ｆｆｆｆで終了）
m/MS00D2.BIN	0:00	1	89	1F4E	{01:FF}	{01:FF}				reads: 
m/MS00D2.BIN	0:00	2	98	1FE8	＝	=				@ours-2026-09-05
m/MS00D2.BIN	0:00	3	104	1F02	（ＦＣ					
m/MS00D2.BIN	0:00	4	113	0D	）\nパレット番号を入力{08:4A}{08:6E}					reads: ）\nパレット番号を入力してください
m/MS00D2.BIN	0:00	5	147	1FE8	＝	=				@ours-2026-09-05
m/MS00D2.BIN	0:00	6	153	1F02	\nＣＧＥＮ番号を入力{08:4A}{08:6E}					reads: \nＣＧＥＮ番号を入力してください
m/MS00D2.BIN	0:00	7	185	1FE8	＝	=				@ours-2026-09-05
m/MS00D2.BIN	0:02	0	8	1F80	{=E2}{=00}{01:1F}L{03:00}	{=E2}{=00}{01:1F}L{03:00}				reads: {=E2}{=00}おにいちゃんL飛び道具
m/MS00D2.BIN	0:02	1	21	10	{03:19}	{03:19}				reads: 
m/MS00D2.BIN	0:03	0	8	1F80	{=E2}{=00}{01:1F}{=ED}{=03}	{=E2}{=00}{01:1F}{=ED}{=03}				reads: {=E2}{=00}おにいちゃん{=ED}{=03}
m/MS00D2.BIN	0:04	0	8	1F80	{=E2}{=00}{01:1F}{=EC}{=03}	{=E2}{=00}{01:1F}{=EC}{=03}				reads: {=E2}{=00}おにいちゃん{=EC}{=03}
m/MS00D2.BIN	0:05	0	0	UNTILED	 / 					@noedit; @untiled; record does not tile (expression node 0x00 payload past end); read-only, copied verbatim
m/MS00D2.BIN	0:09	0	0	UNTILED	P / F / E / D / C / B / A / @ / ? / > / = / < / ; / : / 9 / 8 / 7 /  / ０ / １ / ２ / ３ / ４ / ５ / ６ / ７ / ８ / ９ / ａ / ｂ / ｃ / ｄ / ｅ / ｆ	P / F / E / D / C / B / A / @ / ? / > / = / < / ; / : / 9 / 8 / 7 /  / ０ / １ / ２ / ３ / ４ / ５ / ６ / ７ / ８ / ９ / ａ / ｂ / ｃ / ｄ / ｅ / ｆ				@noedit; @untiled; record does not tile (switch entry at 0x51 has kind 56 (not 0 or 1)); read-only, copied verbatim; reads:  @rebase-new
