# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS00AF.BIN	0:00	0	64	1F19	{01:2F}	{01:2F}				reads: 不気味
m/MS00AF.BIN	0:00	1	67	00	{02:01}B	{02:01}B				reads: ペンタグランマB
m/MS00AF.BIN	0:00	2	71	00	{03:01}Z	{03:01}Z				reads: そんなことZ
m/MS00AF.BIN	0:00	3	75	00	{04:01}c	{04:01}c				reads: 切りc
m/MS00AF.BIN	0:00	4	79	00						
m/MS00AF.BIN	0:00	5	130	18	{03:0C}	{03:0C}				reads: され
m/MS00AF.BIN	0:00	6	147	00	{03:0C}	{03:0C}				reads: され
m/MS00AF.BIN	0:01	0	64	1F19	{01:2F}	{01:2F}				reads: 不気味
m/MS00AF.BIN	0:01	1	67	00	{02:01}B	{02:01}B				reads: ペンタグランマB
m/MS00AF.BIN	0:01	2	71	00	{03:01}Z	{03:01}Z				reads: そんなことZ
m/MS00AF.BIN	0:01	3	75	00	{04:01}c	{04:01}c				reads: 切りc
m/MS00AF.BIN	0:01	4	79	00						
m/MS00AF.BIN	0:01	5	127	00	o	o				
m/MS00AF.BIN	0:01	6	147	00	{03:0C}	{03:0C}				reads: され
m/MS00AF.BIN	0:02	0	11	1EB0	{01:28}	{01:28}				reads: いつも
m/MS00AF.BIN	0:02	1	14	00						
m/MS00AF.BIN	0:02	2	19	1B	音ナンバー		Sound Number	ours		
m/MS00AF.BIN	0:02	3	63	1F19	{01:1F}	{01:1F}				reads: おにいちゃん
m/MS00AF.BIN	0:02	4	66	00	{02:01}0	{02:01}0				reads: ペンタグランマ0
m/MS00AF.BIN	0:02	5	70	00	{03:01}A	{03:01}A				reads: そんなことA
m/MS00AF.BIN	0:02	6	74	00	{04:01}V	{04:01}V				reads: 切りV
m/MS00AF.BIN	0:02	7	78	00						
m/MS00AF.BIN	0:02	8	98	1B	＋１０		+10	ours		
