# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS00DC.BIN	0:01	0	14	1F80	{04:05}	{04:05}				reads: 　
m/MS00DC.BIN	0:01	1	38	18	{04:0E}	{04:0E}				reads: はの
m/MS00DC.BIN	0:01	2	47	1E5C	、	,			draft	@ours-2026-09-05
m/MS00DC.BIN	0:02	0	8	1F01	に{04:0F}た\n	 set in.\n	became \n.\n	v005	draft	reads: にされした\n; reads: にされした\n @refalign @refalign-joined @seamfix-2026-09-05
m/MS00DC.BIN	0:03	0	8	1F01	{04:11}た\n	 set in.\n	became \n.\n	v005	draft	reads: しさせた\n; reads: しさせた\n @refalign @refalign-joined @seamfix-2026-09-05
m/MS00DC.BIN	0:04	0	8	1F01	に冒{04:0F}た\n	 took hold.\n	was afflicted with \n.\n	v005	draft	reads: に冒されした\n; reads: に冒されした\n @refalign @refalign-joined @seamfix-2026-09-05
m/MS00DC.BIN	0:05	0	16	1F01	に	 	{04:EC} inflicted 	ours	draft	reads: に @rebase-tagdiff @seamfix-2026-09-05
m/MS00DC.BIN	0:05	1	23	1F01	{04:0F}た\n		{04:0F}.\n	ours		reads: されした\n @rebase-tagdiff
m/MS00DC.BIN	0:06	0	8	1F01	状態に{04:12}た\n		 state.\n	ours		reads: 状態になっさせた\n @rebase-tagdiff
m/MS00DC.BIN	0:07	0	10	1E5C	死んでしまっ		died.	v005		@refalign
m/MS00DC.BIN	0:07	1	25	18	倒した\n		was defeated.       \n	v005		@refalign
m/MS00DC.BIN	0:08	0	3	0D	踊{04:15}{04:16}た\n		 started dancing.\n	ours		reads: 踊りらせ出した\n
m/MS00DC.BIN	0:09	0	7	0D	呪	 curse			draft	@ours-2026-09-05
m/MS00DC.BIN	0:09	1	16	1E5C	われ	d			draft	@ours-2026-09-05
m/MS00DC.BIN	0:09	2	23	18	いをかけた\n	 cast\n			draft	@ours-2026-09-05
m/MS00DC.BIN	0:0A	0	7	0D	居眠り{04:11}{04:16}た\n		became dozy.\n	v005		reads: 居眠りしさせ出した\n; reads: 居眠りしさせ出した\n @refalign
m/MS00DC.BIN	0:0B	0	3	0D	眠{04:15}	 slep			draft	reads: 眠りらせ; reads: 眠りらせ @ours-2026-09-05
m/MS00DC.BIN	0:0B	1	14	1E5C	込{08:5F}\n	t soundly\n			draft	reads: 込んだ\n; reads: 込んだ\n @ours-2026-09-05
m/MS00DC.BIN	0:0B	2	22	18	た\n	t\n			draft	@ours-2026-09-05
m/MS00DC.BIN	0:0C	0	10	1E5C	おぞましい幻覚にとら{04:17}た\n		became trapped by illusions.\n	v005		reads: おぞましい幻覚にとらわれえた\n; reads: おぞましい幻覚にとらわれえた\n @refalign
m/MS00DC.BIN	0:0D	0	7	0D	目{04:13}見えなく{04:12}た\n		can no longer see.\n	v005		reads: 目がを見えなくなっさせた\n; reads: 目がを見えなくなっさせた\n @refalign
m/MS00DC.BIN	0:0E	0	7	0D	{08:0D}を封じ{04:0C}た\n		had their magic sealed.\n	v005		reads: 魔法を封じられった\n; reads: 魔法を封じられった\n @refalign
m/MS00DC.BIN	0:0F	0	3	0D	切れ{04:18}た\n		was hurt.\n	v005		reads: 切れさせた\n; reads: 切れさせた\n @refalign
