# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS610A.BIN	F0	0	45	1FB2	仲魔になって	Join My Side	
m/MS610A.BIN	F0	1	53	1FB2	何か下さい	Gimme	
m/MS610A.BIN	F0	2	63	1FB2	去れ	Go!	
m/MS610A.BIN	F0	3	193	1FB2	呼び止める	Call Out	
m/MS610A.BIN	F0	4	203	1FB2	ほっとく	Leave It	
m/MS610A.BIN	F0	5	211	1FB2	攻撃	Atk	
m/MS610A.BIN	F0	6	413	1FB2	別に	Meh	
m/MS610A.BIN	F0	7	419	1FB2	本当は怖い	I'm Scared	
m/MS610A.BIN	F0	8	657	1FB2	恋人の為	For Love	
m/MS610A.BIN	F0	9	667	1FB2	世界平和	Peace	
m/MS610A.BIN	F0	10	677	1FB2	世界征服	Conquest	
m/MS610A.BIN	F0	11	871	1FB2	わかった	Got It	
m/MS610A.BIN	F0	12	877	1FB2	冗談じゃない	No Joke	
m/MS610A.BIN	F0	13	887	1FB2	下僕は貴様の方だ	You're the Slave	
m/MS610A.BIN	F0	14	1264	1FB2	{01})		suspect: may be misread operand data, verify before editing; @skip; runtime inserts: reproduce every {XX} token, in order
m/MS610A.BIN	F0	15	1268	1FB2	そんな事ない	Not True	
m/MS610A.BIN	F0	16	1343	1FB2	嫌いだから	Hate It	
m/MS610A.BIN	F0	17	1353	1FB2	平和の為	Peace	
m/MS610A.BIN	F0	18	1363	1FB2	強くなる為	Get Strong	
m/MS610A.BIN	F0	19	1373	1FB2	何となく	Dunno	
m/MS610A.BIN	F0	20	1520	1FB2	はい	Yes	
m/MS610A.BIN	F0	21	1524	1FB2	めっそうもない	Not at All	
m/MS610A.BIN	F0	22	1644	1FB2	嫌いだから	Hate It	
m/MS610A.BIN	F0	23	1654	1FB2	邪魔だから	In My Way	
m/MS610A.BIN	F0	24	1664	1FB2	強くなる為	Get Strong	
m/MS610A.BIN	F0	25	1674	1FB2	何となく	Dunno	
m/MS610A.BIN	F0	26	1851	1FB2	何だと！	What!?	
m/MS610A.BIN	F0	27	1861	1FB2	何とでも言え	Say Whatever	
m/MS610A.BIN	F0	28	2044	1FB2	わかった	Got It	
m/MS610A.BIN	F0	29	2050	1FB2	嫌だ	Nope	
m/MS610A.BIN	F0	30	2056	1FB2	下僕は貴様の方だ	You're the Slave	
m/MS610A.BIN	F0	31	2341	1FB2	何かくれ	Gimme	
m/MS610A.BIN	F0	32	2351	1FB2	何か教えろ	Teach Me	
m/MS610A.BIN	F0	33	2363	1FB2	去れ	Go!	
m/MS610A.BIN	F0	34	2482	1FB2	はい	Yes	
m/MS610A.BIN	F0	35	2486	1FB2	ふざけるな！	Don't Joke!	
m/MS610A.BIN	F0	36	2685	1FB2	{01})な		runtime inserts: reproduce every {XX} token, in order @operand
m/MS610A.BIN	F0	37	2691	1FB2	どこが？	Where?	
m/MS610A.BIN	F0	38	2701	1FB2	無視	Skip	
m/MS610A.BIN	F0	39	2842	1FB2	ほっとく	Leave It	
m/MS610A.BIN	F0	40	2850	1FB2	来るな！	Away!	
m/MS610A.BIN	F0	41	3278	1FB2	はい	Yes	
m/MS610A.BIN	F0	42	3282	1FB2	めっそうもない	Not at All	
m/MS610A.BIN	F0	43	3563	1FB2	仕方ないな	I guess so	
m/MS610A.BIN	F0	44	3573	1FB2	絶対やらん	Never!	
m/MS610A.BIN	F0	45	3773	1FB2	謝る	Oops	
m/MS610A.BIN	F0	46	3779	1FB2	無視	Skip	
m/MS610A.BIN	F0	47	3841	1FB2	わかった	Got It	
m/MS610A.BIN	F0	48	3847	1FB2	やだ	Nope	
m/MS610A.BIN	R1:56	0	4504	DATA	一族を裏切れというのか？\n<wait>	Betray my\nown kind, you say?\n<wait>	
m/MS610A.BIN	R3:85	0	4593	DATA	一族の者が　黙ってはいないぞ\n<wait>	My kin will not\nstand idly by for this.\n<wait>	
m/MS610A.BIN	R5:B8	0	4740	DATA	この私を倒してみろ！\n<wait>	Try and\ndefeat me, then!\n<wait>	
m/MS610A.BIN	R7:B9	0	4765	DATA	神の手先が	God's tool	
m/MS610A.BIN	R9:BA	0	4779	DATA	言われなくとも　そうするわ！\n<wait>	I'll do that\nwithout being told!\n<wait>	
m/MS610A.BIN	R11:BB	0	4814	DATA	落ちたものだな\n<wait>	How the mighty\nhave fallen.\n<wait>	
m/MS610A.BIN	R13:BC	0	4835	DATA	神の手先になれというのか？\n<wait>	You want me to\nbecome God's lackey?\n<wait>	
m/MS610A.BIN	R15:BD	0	4868	DATA	失せろ！\n<wait>	Begone!\n<wait>	
m/MS610A.BIN	R17:BE	0	4885	DATA	堕天使たるこの私に　話しかける者がいるとは\n<wait>	To think someone would\nspeak to me, a fallen angel...\n<wait>	
m/MS610A.BIN	R19:BF	0	4928	DATA	私の下僕となり　神に背く事を誓うのならば\n許してやらぬ事もない\n<wait>	Become my servant and swear\nto defy God, and I may forgive you.\n<wait>	
m/MS610A.BIN	R21:C0	0	4990	DATA	神に背く者は　許せない訳だな？\n<wait>	So you cannot\nforgive those who defy God?\n<wait>	
m/MS610A.BIN	R23:C1	0	5027	DATA	何故　私を滅ぼそうとする？\n<wait>	Why do you seek\nto destroy me?\n<wait>	
m/MS610A.BIN	R25:C2	0	5060	DATA	闇こそが美しい　そうは思わないか？\n<wait>	Darkness alone is\nbeautiful, don't you think?\n<wait>	
m/MS610A.BIN	R27:C3	0	5101	DATA	神の手先か！\n<wait>	God's tool!\n<wait>	
